COCO METRICS:
AP: 0.3845791133619568
AP50: 0.635356941995597
AP75: 0.4047363046788798
APsmall: 0.3257256287228455
APmedium: 0.389220916289596
APlarge: 0.44290532663030174
AR1: 0.3216174102333802
AR10: 0.5376239208763934
AR100: 0.5511291123058374
ARsmall: 0.4694371025907378
ARmedium: 0.5511696546357886
ARlarge: 0.6077225398878616

PASCAL METRIC (AP per class)
Car: 0.9123389479906575
Cyclist: 0.652242905155909
Pedestrian: 0.7234428553984121
Truck: 0.7534180861926515
Van: 0.6856517713904922
Misc: 0.31063812606325003
Tram: 0.7588418883955658
Person_sitting: 0.3167714991046034

PASCAL METRIC (mAP)
mAP: 0.6391682599614427
