YOLOv3結果
COCO METRICS:
AP: 0.6669743865498041
AP50: 0.8674416082822918
AP75: 0.7915917818378854
APsmall: 0.48732152984026766
APmedium: 0.7087459302102015
APlarge: 0.723425799919539
AR1: 0.47403779177317656
AR10: 0.7451676249637004
AR100: 0.7497128862498527
ARsmall: 0.5761891935754958
ARmedium: 0.7803245742329994
ARlarge: 0.7783957475324295

PASCAL METRIC (AP per class)
Car: 0.8713911319052594
Cyclist: 0.9003233718221426
Pedestrian: 0.8548007499271478
Truck: 0.9257713161796394
Van: 0.912096826718525
Misc: 0.8331010161866492
Tram: 0.9230087216419507
Person_sitting: 0.7546908080019912

PASCAL METRIC (mAP)
mAP: 0.8718979927979131
